asset,indicator,params,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 65}",-49.35,0.84,-87.42,50.0,44
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 70}",11.86,1.03,-82.93,51.22,41
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 75}",72.87,1.12,-84.39,55.26,38
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 80}",-65.5,0.6,-95.03,61.54,26
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 65}",74.74,2.08,-60.32,54.55,11
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 70}",83.39,2.4,-56.71,70.0,10
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 75}",126.44,2.7,-67.13,66.67,9
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 80}",-30.35,0.59,-86.39,57.14,7
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 65}",-34.62,0.77,-81.8,68.18,22
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 70}",8.68,1.05,-78.32,68.42,19
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 75}",-8.56,0.92,-88.92,73.33,15
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 80}",-67.85,0.35,-93.5,63.64,11
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 65}",-83.51,0.39,-86.91,57.69,26
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 70}",-72.47,0.5,-83.33,57.14,21
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 75}",-78.49,0.33,-92.17,62.5,16
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 80}",-89.37,0.16,-96.03,63.64,11
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 65}",-63.87,0.68,-86.95,53.33,30
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 70}",-38.69,0.84,-83.38,52.0,25
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 75}",-42.4,0.8,-90.38,60.0,20
SOL/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 80}",-84.03,0.42,-96.03,57.14,14
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 65}",38.2,inf,-33.05,100.0,4
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 70}",-17.91,0.68,-75.58,75.0,4
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 75}",15.3,1.46,-75.58,75.0,4
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 80}",-7.19,0.81,-74.27,66.67,3
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 65}",115.92,4.33,-55.53,62.5,8
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 70}",-44.34,0.48,-85.0,66.67,6
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 75}",-49.29,0.44,-85.0,60.0,5
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 80}",-47.77,0.54,-83.61,50.0,4
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 65}",-46.6,0.57,-78.58,53.85,13
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 70}",-85.12,0.13,-92.51,50.0,10
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 75}",-84.86,0.14,-92.51,50.0,8
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 80}",-63.23,0.42,-91.58,50.0,6
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 65}",-38.2,0.74,-88.72,73.68,19
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 70}",-80.13,0.5,-95.32,61.54,13
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 75}",-84.25,0.49,-95.32,50.0,10
SOL/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 80}",-74.3,0.32,-95.25,50.0,6
SOL/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 1.5}",-76.26,0.7,-88.13,65.82,79
SOL/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 2.0}",-76.45,0.41,-81.83,52.27,44
SOL/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 2.5}",-46.84,0.2,-59.89,41.67,12
SOL/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 1.5}",-78.01,0.58,-89.55,55.26,38
SOL/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 2.0}",-76.77,0.45,-87.35,48.28,29
SOL/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 2.5}",-57.11,0.29,-75.64,42.86,14
SOL/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 1.5}",-71.5,0.51,-85.78,58.06,31
